Lentinellus micheneri
Lentinellus ursinus
Lentinula edodes
Lentinus arcularius
Lentinus brumalis
Lentinus strigosus
Lentinus tigrinus
Lenzites betulina
Leocarpus fragilis
Leotia lubrica
Leotia viscosa
Lepiota aspera
Lepiota clypeolaria
Lepiota cristata
Lepiota magnispora
Lepiota rubrotinctoides
Lepiota spheniscispora
Lepiota subincarnata
Lepista irina
Lepista nuda
Lepista sordida
Lepista tarda
Leptogium cyanescens
Leptoporus mollis
Leratiomyces ceres
Leratiomyces percevalii
Leratiomyces riparius
Leucoagaricus americanus
Leucoagaricus barssii
Leucoagaricus caerulescens
Leucoagaricus leucothites
Leucoagaricus rubrotinctus
Leucocoprinus birnbaumii
Leucocoprinus cepistipes
Leucocoprinus cretaceus
Leucocoprinus fragilissimus
Leucopaxillus albissimus
Leucopaxillus gentianeus
Leucopholiota decorosa
Lichenomphalia umbellifera
Limacella glischra
Lobaria pulmonaria
Lobaria scrobiculata
Lycogala epidendrum
Lycoperdon excipuliforme
Lycoperdon marginatum
Lycoperdon molle
Lycoperdon perlatum
Lycoperdon pyriforme
Lycoperdon umbrinum
Lyophyllum decastes
Macrocybe titans
Macrocystidia cucumis
Macrolepiota procera
Macrotyphula juncea
Marasmiellus candidus
Marasmius calhouniae
Marasmius capillaris
Marasmius nigrodiscus
Marasmius oreades
Marasmius plicatulus
Marasmius rotula
Marasmius siccus
Marasmius strictipes
Marasmius sullivantii
Megacollybia rodmani
Megacollybia rodmanii
Melanoleuca alboflavida
Melanoleuca cognata
Melanoleuca verrucipes
Melanophyllum haematospermum
Meripilus sumstinei
Merulius tremellosus
Metatrichia vesparium
Microglossum rufum
Micromphale arbuticola
Microstoma floccosum
Mitrula elegans
Monotropa uniflora
Morchella americana
Morchella angusticeps
Morchella diminutiva
Morchella importuna
Morchella punctipes
Morchella rufobrunnea
Morchella snyderi
Morchella tridentina
Multiclavula mucida
Mutinus elegans
Mycena abramsii
Mycena acicula
Mycena amicta
Mycena aurantiomarginata
Mycena californiensis
Mycena capillaripes
Mycena corticola
Mycena crocea
Mycena epipterygia
Mycena filopes
Mycena galericulata
Mycena galopus
Mycena griseoviridis
Mycena haematopus
Mycena inclinata
Mycena leaiana
Mycena leptocephala
Mycena maculata
Mycena metata
Mycena niveipes
Mycena overholtsii
Mycena pura
Mycena purpureofusca
Mycena rutilantiformis
Mycena sanguinolenta
Mycena subcaerulea
Mycena tenerrima
Mycetinis opacus
Mycetinis scorodonius
Mycoacia uda
Mycorrhaphium adustum
Myriostoma coliforme
Myxarium nucleatum
Naematelia aurantia
Neoboletus subvelutipes
Neofavolus alveolaris
Neolecta irregularis
Neolentinus lepideus
Neolentinus ponderosus
Nephroma laevigatum
Nidula candida
Nigroporus vinosus
Niveoporofomes spraguei
Nolanea holoconiota
Ochrolechia parella
Omphalotus illudens
Omphalotus nidiformis
Omphalotus olearius
Omphalotus olivascens
Onnia tomentosa
Otidea onotica
Oudemansiella furfuracea
Panaeolina foenisecii
Panaeolus acuminatus
Panaeolus antillarum
Panaeolus cinctulus
Panaeolus cyanescens
Panaeolus foenisecii
Panaeolus olivaceus
Panaeolus papilionaceus
Panaeolus semiovatus
Panaeolus subbalteatus
Panellus pusillus
Panellus serotinus
Panellus stipticus
Panus conchatus
Panus lecomtei
Paragyrodon sphaerosporus
Paralepista flaccida
Parasola auricoma
Parasola conopilea
Parasola lactea
Parasola plicatilis
Parmelia saxatilis
Parmelia sulcata
Parmotrema reticulatum
Paxillus involutus
Peltigera didactyla
Peltigera membranacea
Peltigera praetextata
Peltigera rufescens
Peniophora incarnata
Peniophorella pubera
Pertusaria albescens
Pertusaria amara
Pertusaria hymenea
Peziza phyllogena
Peziza repanda
Phaeoclavulina myceliosa
Phaeolus schweinitzii
Phaeophyscia rubropulchra
Phaeotremella frondosa
Phallus hadriani
Phallus impudicus
Phallus ravenelii
Phallus rubicundus
Phellinus gilvus
Phellinus igniarius
Phellinus tremulae
Phlebia incarnata
Phlebia radiata
Phlebia tremellosa
Phleogena faginea
Phloeomana speirea
Pholiota alnicola
Pholiota aurivella
Pholiota granulosa
Pholiota highlandensis
Pholiota lenta
Pholiota limonella
Pholiota polychroa
Pholiota spumosa
Pholiota squarrosa
Pholiota squarrosoides
Pholiota terrestris
Pholiota velaglutinosa
Pholiotina cyanopus
Pholiotina rugosa
Pholiotina smithii
Phylloporus arenicola
Phylloporus leucomycelinus
Phylloporus rhodoxanthus
Phyllotopsis nidulans
Physcia adscendens
Physcia aipolia
Physcia millegrana
Physconia enteroxantha
Picipes badius
Piptoporus betulinus
Pisolithus arhizus
Platismatia glauca
Pleurocybella porrigens
Pleurotus dryinus
Pleurotus levis
Pleurotus ostreatus
Pleurotus populinus
Pleurotus pulmonarius
Plicaturopsis crispa
Pluteus americanus
Pluteus atromarginatus
Pluteus brunneidiscus
Pluteus cervinus
Pluteus chrysophlebius
Pluteus exilis
Pluteus leoninus
Pluteus longistriatus
Pluteus petasatus
Pluteus primus
Pluteus romellii
Pluteus salicinus
Pluteus thomsonii
Podaxis pistillaris
Polyporus alveolaris
Polyporus arcularius
Polyporus badius
Polyporus leptocephalus
Polyporus radicatus
Polyporus squamosus
Polyporus tuberaster
Polyporus umbellatus
Porodaedalea gilbertsonii
Porphyrellus porphyrosporus
Porpidia albocaerulescens
Postia fragilis
Postia guttulata
Postia ptychogaster
Protostropharia semiglobata
Prunulus purus
Psathyrella atrospora
Psathyrella bipellis
Psathyrella candolleana
Psathyrella corrugis
Psathyrella delineata
Psathyrella longipes
Psathyrella longistriata
Psathyrella piluliformis
Pseudoboletus parasiticus
Pseudoclitocybe cyathiformis
Pseudocolus fusiformis
Pseudohydnum gelatinosum
Pseudoinonotus dryadeus
Pseudomerulius curtisii
Pseudoplectania nigrella
Psilocybe allenii
Psilocybe aztecorum
Psilocybe azurescens
Psilocybe baeocystis
Psilocybe banderillensis
Psilocybe caerulescens
Psilocybe caerulipes
Psilocybe cubensis
Psilocybe cyanescens
Psilocybe cyanofibrillosa
Psilocybe fagicola
Psilocybe heimii
Psilocybe mexicana
Psilocybe muliercula
Psilocybe neoxalapensis
Psilocybe ovoideocystidiata
Psilocybe papuana
Psilocybe pelliculosa
Psilocybe semilanceata
Psilocybe stuntzii
Psilocybe subaeruginosa
Psilocybe subtropicalis
Psilocybe yungensis
Psilocybe zapotecorum
Pulchroboletus rubricitrinus
Pulveroboletus ravenelii
Punctelia rudecta
Punctularia atropurpurascens
Pycnoporellus alboluteus
Pycnoporellus fulgens
Pycnoporus cinnabarinus
Pycnoporus sanguineus
Pyxine sorediata
Radulomyces confluens
Ramaria botrytis
Ramaria formosa
Ramaria rasilispora
Ramaria stricta
Ramariopsis kunzei
Resupinatus applicatus
Retiboletus griseus
Retiboletus ornatipes
Retiboletus vinaceipes
Reticularia lycoperdon
Rhizomarasmius pyrrhocephalus
Rhizopogon occidentalis
Rhodocollybia butyracea
Rhodocollybia maculata
Rhodofomes cajanderi
Rhodophana nitellina
Rhodotus palmatus
Rickenella fibula
Rimbachia bryophila
Rinodina oxydata
Royoporus badius
Rubroboletus rhodosanguineus
Russula aeruginea
Russula albonigra
Russula amoenolens
Russula brevipes
Russula brunneola
Russula cerolens
Russula clavipes
Russula compacta
Russula cremoricolor
Russula crustosa
Russula cyanoxantha
Russula densifolia
Russula dissimulans
Russula flavida
Russula flavisiccans
Russula fragilis
Russula fragrantissima
Russula grata
Russula heterophylla
Russula mariae
Russula modesta
Russula nigricans
Russula ochroleucoides
Russula paludosa
Russula parvovirescens
Russula pectinatoides
Russula pulverulenta
Russula queletii
Russula rosea
Russula rubescens
Russula sanguinea
Russula silvestris
Russula silvicola
Russula sororia
Russula variata
Russula veternosa
Russula vinacea
Russula vinosa
Russula virescens
Russula xerampelina
Sarcodon fuscoindicus
Sarcodon imbricatus
Sarcodon scabrosus
Sarcomyxa serotina
Sarcoscypha austriaca
Sarcoscypha coccinea
Sarcoscypha occidentalis
Sarcosphaera coronaria
Schizophyllum commune
Scleroderma areolatum
Scleroderma bovista
Scleroderma cepa
Scleroderma citrinum
Scleroderma polyrhizum
Scorias spongiosa
Sebacina schweinitzii
Sebacina sparassoidea
Serpula himantioides
Simocybe centunculus
Sparassis radicata
Sparassis spathulata
Spathularia flavida
Sphaerobolus stellatus
Spinellus fusiger
Spongipellis pachyodon
Steccherinum ochraceum
Stemonitis axifera
Stemonitopsis typhina
Stereum complicatum
Stereum hirsutum
Stereum ochraceoflavum
Stereum ostrea
Strobilomyces confusus
Strobilomyces dryophilus
Strobilomyces strobilaceus
Strobilurus trullisatus
Stropharia aeruginosa
Stropharia ambigua
Stropharia caerulea
Stropharia coronilla
Stropharia hardii
Stropharia hornemannii
Stropharia rugosoannulata
Suillellus amygdalinus
Suillus acidus
Suillus americanus
Suillus brevipes
Suillus caerulescens
Suillus clintonianus
Suillus cothurnatus
Suillus decipiens
Suillus fuscotomentosus
Suillus granulatus
Suillus hirtellus
Suillus lakei
Suillus luteus
Suillus placidus
Suillus ponderosus
Suillus pungens
Suillus salmonicolor
Suillus spraguei
Suillus subaureus
Suillus tomentosus
Suillus weaverae
Sutorius eximius
Syzygites megalocarpus
Tapinella atrotomentosa
Tapinella panuoides
Teloschistes chrysophthalmus
Terana caerulea
Termitomyces umkowaan
Tetrapyrgos nigripes
Thelephora palmata
Thelephora terrestris
Thelephora vialis
Tolypocladium longisegmentatum
Tolypocladium ophioglossoides
Trametes aesculi
Trametes betulina
Trametes cinnabarina
Trametes conchifer
Trametes gibbosa
Trametes hirsuta
Trametes lactinea
Trametes ochracea
Trametes pubescens
Trametes versicolor
Trametes villosa
Trametopsis cervina
Tremella aurantia
Tremella foliacea
Tremella fuciformis
Tremella mesenterica
Tremellodendron pallidum
Tremellodendron schweinitzii
Tremellodendropsis tuberosa
Trichaptum abietinum
Trichaptum biforme
Trichoglossum hirsutum
Tricholoma atrosquamosum
Tricholoma aurantium
Tricholoma caligatum
Tricholoma dryophilum
Tricholoma equestre
Tricholoma flavovirens
Tricholoma focale
Tricholoma fracticum
Tricholoma fulvum
Tricholoma griseoviolaceum
Tricholoma imbricatum
Tricholoma murrillianum
Tricholoma myomyces
Tricholoma odorum
Tricholoma pardinum
Tricholoma portentosum
Tricholoma saponaceum
Tricholoma scalpturatum
Tricholoma sejunctum
Tricholoma subresplendens
Tricholoma subsejunctum
Tricholoma sulphureum
Tricholoma terreum
Tricholoma ustale
Tricholoma vaccinum
Tricholomopsis decora
Tricholomopsis formosa
Tricholomopsis rutilans
Tricholomopsis sulphureoides
Truncocolumella citrina
Tubaria furfuracea
Tubaria punicea
Tubifera ferruginosa
Turbinellus floccosus
Turbinellus kauffmanii
Tylopilus alboater
Tylopilus badiceps
Tylopilus balloui
Tylopilus felleus
Tylopilus ferrugineus
Tylopilus plumbeoviolaceus
Tylopilus rubrobrunneus
Tylopilus sordidus
Tylopilus variobrunneus
Tylopilus violatinctus
Tyromyces chioneus
Umbilicaria mammulata
Urnula craterium
Urnula padeniana
Ustilago maydis
Vascellum lloydianum
Vascellum pratense
Verpa bohemica
Verpa conica
Volvariella bombycina
Volvopluteus gloiocephalus
Xanthoconium affine
Xanthoconium purpureum
Xanthomendoza fallax
Xanthomendoza hasseana
Xanthomendoza weberi
Xanthoparmelia conspersa
Xanthoparmelia plittii
Xanthoria elegans
Xanthoria parietina
Xerocomellus chrysenteron
Xerocomellus dryophilus
Xerocomellus zelleri
Xerocomus hortonii
Xerocomus sclerotiorum
Xerocomus subtomentosus
Xeromphalina cauticinalis
Xeromphalina kauffmanii
Xeromphalina tenuipes
Xerula furfuracea
Xylaria cubensis
Xylobolus frustulatus
Xylobolus subpileatus
Xylocoremium flabelliforme
